	ID	Name	Organisms	Tissues	Assays	Sexes	Cell Count	Explorer URL	S3 URIs
0	db37ad13-c177-4e46-a879-d06a7bc2ddbd	All — Cells of the adult human heart	['Callithrix jacchus', 'Homo sapiens', 'Mus musculus']	['brain (organoid)', 'epithelial cell', 'fibroblast (cell culture)', 'heart left ventricle', 'heart right ventricle', 'kidney']	["10x 3' v2", "10x 3' v3", "10x 3' v3 (sci-plex)"]	['female', 'male', 'unknown']	320	https://cellxgene.dev.single-cell.czi.technology/e/db37ad13-c177-4e46-a879-d06a7bc2ddbd.cxg/	['s3://corpora-data-dev/db37ad13-c177-4e46-a879-d06a7bc2ddbd/local.h5ad', 's3://hosted-cellxgene-dev/ce5f4a56-d677-476b-bad3-1122f596e5ae.cxg/', 's3://corpora-data-dev/db37ad13-c177-4e46-a879-d06a7bc2ddbd/local.rds']
1	886ab040-482c-47ab-af47-0deea2ac195b	All — Cells of the adult human heart	['Callithrix jacchus', 'Homo sapiens', 'Mus musculus']	['brain (organoid)', 'epithelial cell', 'fibroblast (cell culture)', 'heart left ventricle', 'heart right ventricle', 'kidney']	["10x 3' v2", "10x 3' v3", "10x 3' v3 (sci-plex)"]	['female', 'male', 'unknown']	320	https://cellxgene.dev.single-cell.czi.technology/e/886ab040-482c-47ab-af47-0deea2ac195b.cxg/	['s3://corpora-data-dev/886ab040-482c-47ab-af47-0deea2ac195b/local.h5ad', 's3://hosted-cellxgene-dev/d2cd93b3-c733-457d-b524-27160d29a66c.cxg/', 's3://corpora-data-dev/886ab040-482c-47ab-af47-0deea2ac195b/local.rds']
2	80ea3a0e-f224-467b-ba37-5baf83313c0e	All — Cells of the adult human heart	['Callithrix jacchus', 'Homo sapiens', 'Mus musculus']	['brain (organoid)', 'epithelial cell', 'fibroblast (cell culture)', 'heart left ventricle', 'heart right ventricle', 'kidney']	["10x 3' v2", "10x 3' v3", "10x 3' v3 (sci-plex)"]	['female', 'male', 'unknown']	320	https://cellxgene.dev.single-cell.czi.technology/e/80ea3a0e-f224-467b-ba37-5baf83313c0e.cxg/	['s3://corpora-data-dev/80ea3a0e-f224-467b-ba37-5baf83313c0e/local.h5ad', 's3://hosted-cellxgene-dev/eac22576-0826-4fb0-be47-603c1ee2ca45.cxg/', 's3://corpora-data-dev/80ea3a0e-f224-467b-ba37-5baf83313c0e/local.rds']
3	93295eab-bcea-4f7d-93cb-880f8eabc9e6	All — Cells of the adult human heart	['Callithrix jacchus', 'Homo sapiens', 'Mus musculus']	['brain (organoid)', 'epithelial cell', 'fibroblast (cell culture)', 'heart left ventricle', 'heart right ventricle', 'kidney']	["10x 3' v2", "10x 3' v3", "10x 3' v3 (sci-plex)"]	['female', 'male', 'unknown']	320	https://cellxgene.dev.single-cell.czi.technology/e/93295eab-bcea-4f7d-93cb-880f8eabc9e6.cxg/	['s3://corpora-data-dev/93295eab-bcea-4f7d-93cb-880f8eabc9e6/local.h5ad', 's3://hosted-cellxgene-dev/e60ffc90-224a-4e8a-98fe-8ea5807900bd.cxg/', 's3://corpora-data-dev/93295eab-bcea-4f7d-93cb-880f8eabc9e6/local.rds']
4	88fca839-a85b-4880-bf03-26cad167d699	All — Cells of the adult human heart	['Callithrix jacchus', 'Homo sapiens', 'Mus musculus']	['brain (organoid)', 'epithelial cell', 'fibroblast (cell culture)', 'heart left ventricle', 'heart right ventricle', 'kidney']	["10x 3' v2", "10x 3' v3", "10x 3' v3 (sci-plex)"]	['female', 'male', 'unknown']	320	https://cellxgene.dev.single-cell.czi.technology/e/88fca839-a85b-4880-bf03-26cad167d699.cxg/	['s3://corpora-data-dev/88fca839-a85b-4880-bf03-26cad167d699/local.h5ad', 's3://hosted-cellxgene-dev/8fefbe28-8a5b-4c3a-ae68-18eb6dc39cf0.cxg/', 's3://corpora-data-dev/88fca839-a85b-4880-bf03-26cad167d699/local.rds']
5	22d1a324-4da1-47c5-b406-29e115822f8a	Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A7	['Homo sapiens']	['intestine']	['Visium Spatial Gene Expression']	['unknown']	344	https://cellxgene.dev.single-cell.czi.technology/e/22d1a324-4da1-47c5-b406-29e115822f8a.cxg/	['s3://corpora-data-dev/22d1a324-4da1-47c5-b406-29e115822f8a/local.h5ad', 's3://hosted-cellxgene-dev/4fe2f3f2-8ff5-4840-bafb-aa39a0a1168f.cxg/', 's3://corpora-data-dev/22d1a324-4da1-47c5-b406-29e115822f8a/local.rds']
6	59e15e63-f2c2-410b-bc21-cc96866fa9c4	All — Cells of the adult human heart	['Callithrix jacchus', 'Homo sapiens', 'Mus musculus']	['brain (organoid)', 'epithelial cell', 'fibroblast (cell culture)', 'heart left ventricle', 'heart right ventricle', 'kidney']	["10x 3' v2", "10x 3' v3", "10x 3' v3 (sci-plex)"]	['female', 'male', 'unknown']	320	https://cellxgene.dev.single-cell.czi.technology/e/59e15e63-f2c2-410b-bc21-cc96866fa9c4.cxg/	['s3://corpora-data-dev/59e15e63-f2c2-410b-bc21-cc96866fa9c4/local.h5ad', 's3://hosted-cellxgene-dev/0f8c6e2a-355e-4b79-9d96-07d3e29775c5.cxg/', 's3://corpora-data-dev/59e15e63-f2c2-410b-bc21-cc96866fa9c4/local.rds']
7	a0ebdaab-82e6-4f9a-a62c-85396650d9d1	All — Cells of the adult human heart	['Callithrix jacchus', 'Homo sapiens', 'Mus musculus']	['brain (organoid)', 'epithelial cell', 'fibroblast (cell culture)', 'heart left ventricle', 'heart right ventricle', 'kidney']	["10x 3' v2", "10x 3' v3", "10x 3' v3 (sci-plex)"]	['female', 'male', 'unknown']	320	https://cellxgene.dev.single-cell.czi.technology/e/a0ebdaab-82e6-4f9a-a62c-85396650d9d1.cxg/	['s3://corpora-data-dev/a0ebdaab-82e6-4f9a-a62c-85396650d9d1/local.h5ad', 's3://hosted-cellxgene-dev/783f7111-e930-4198-8b8a-871e7801326b.cxg/', 's3://corpora-data-dev/a0ebdaab-82e6-4f9a-a62c-85396650d9d1/local.rds']
8	1ad4553e-63a6-4782-9824-9c8d3747b3f8	All — Cells of the adult human heart	['Callithrix jacchus', 'Homo sapiens', 'Mus musculus']	['brain (organoid)', 'epithelial cell', 'fibroblast (cell culture)', 'heart left ventricle', 'heart right ventricle', 'kidney']	["10x 3' v2", "10x 3' v3", "10x 3' v3 (sci-plex)"]	['female', 'male', 'unknown']	320	https://cellxgene.dev.single-cell.czi.technology/e/1ad4553e-63a6-4782-9824-9c8d3747b3f8.cxg/	['s3://corpora-data-dev/1ad4553e-63a6-4782-9824-9c8d3747b3f8/local.h5ad', 's3://hosted-cellxgene-dev/9cb041ce-9284-451a-9120-9d13b1939fda.cxg/', 's3://corpora-data-dev/1ad4553e-63a6-4782-9824-9c8d3747b3f8/local.rds']
9	7a254a3e-6467-43fd-8637-fdf2156b3d87	All — Cells of the adult human heart	['Callithrix jacchus', 'Homo sapiens', 'Mus musculus']	['brain (organoid)', 'epithelial cell', 'fibroblast (cell culture)', 'heart left ventricle', 'heart right ventricle', 'kidney']	["10x 3' v2", "10x 3' v3", "10x 3' v3 (sci-plex)"]	['female', 'male', 'unknown']	320	https://cellxgene.dev.single-cell.czi.technology/e/7a254a3e-6467-43fd-8637-fdf2156b3d87.cxg/	['s3://corpora-data-dev/7a254a3e-6467-43fd-8637-fdf2156b3d87/local.h5ad', 's3://hosted-cellxgene-dev/4055f63f-aae8-434b-ac2a-4e9d26f7ab15.cxg/', 's3://corpora-data-dev/7a254a3e-6467-43fd-8637-fdf2156b3d87/local.rds']
